"loanId","requestedAmount","investedAmount","executionStatus","addrZip","memberId","loanAmount","fundedAmount","term","intRate","expDefaultRate","serviceFeeRate","installment","grade","subGrade","empLength","homeOwnership","annualInc","isIncV","acceptD","expD","listD","creditPullD","reviewStatusD","reviewStatus","desc","purpose","addrState","investorCount","ilsExpD","initialListStatus","empTitle","accNowDelinq","accOpenPast24Mths","bcOpenToBuy","percentBcGt75","bcUtil","dti","delinq2Yrs","delinqAmnt","earliestCrLine","ficoRangeLow","ficoRangeHigh","inqLast6Mths","mthsSinceLastDelinq","mthsSinceLastRecord","mthsSinceRecentInq","mthsSinceRecentRevolDelinq","mthsSinceRecentBc","mortAcc","openAcc","pubRec","totalBalExMort","revolBal","revolUtil","totalBcLimit","totalAcc","totalIlHighCreditLimit","numRevAccts","mthsSinceRecentBcDlq","pubRecBankruptcies","numAcctsEver120Ppd","chargeoffWithin12Mths","collections12MthsExMed","taxLiens","mthsSinceLastMajorDerog","numSats","numTlOpPast12m","moSinRcntTl","totHiCredLim","totCurBal","avgCurBal","numBcTl","numActvBcTl","numBcSats","pctTlNvrDlq","numTl90gDpd24m","numTl30dpd","numTl120dpd2m","numIlTl","moSinOldIlAcct","numActvRevTl","moSinOldRevTlOp","moSinRcntRevTlOp","totalRevHiLim","numRevTlBalGt0","numOpRevTl","totCollAmt","applicationType","annualIncJoint","dtiJoint","isIncVJoint","openAcc6m","openIl6m","openIl12m","openIl24m","mthsSinceRcntIl","totalBalIl","iLUtil","openRv12m","openRv24m","maxBalBc","allUtil","inqFi","totalCuTl","inqLast12m","earliestCrLineMonths","installmentIncomeRatio","revolBalAnnualIncRatio","model","pctFunded","population","avgWage","amountTerm","amountTermIncomeRatio"
83829700,,,"","294xx",89797550,16000,0,36,15.59,7.71,0.96,559.28,"C","C5",0,"RENT",70000,"SOURCE_VERIFIED","2016-06-23T05:49:29.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-23T05:49:10.000-07:00","2016-06-27T08:30:24.000-07:00","APPROVED",,"debt_consolidation","SC",,"2016-06-27T10:00:00.000-07:00",FALSE,"Senior medic ",0,7,71,100,94.5,10.23,3,0,2001-07-22,670,674,1,10,,2,16,92,0,12,0,40556,2607,36.2,1300,33,32869,14,,0,2,0,0,0,10,12,4,6,40069,40556,3687,6,1,1,90,2,0,0,19,177,6,179,23,7200,6,7,0,"INDIVIDUAL",,,,1,5,4,4,6,37949,115.5,0,3,1229,101.2,0,0,6,179,0.0958765714285714,0.0372428571428571,0.54110199213028,0,1633034,34981,444.444444444444,0.0761904761904762
83879021,,,"","209xx",89846850,6000,0,36,11.49,4.76,0.85,197.83,"B","B5",24,"RENT",80000,"VERIFIED","2016-06-24T08:52:08.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-22T16:09:41.000-07:00","2016-06-27T08:20:44.000-07:00","APPROVED",,"debt_consolidation","MD",,"2016-06-27T10:00:00.000-07:00",FALSE,"Accountant ",0,4,7090,0,38.3,25.41,1,0,2006-08-21,670,674,1,8,,0,8,22,0,10,0,52521,4410,38.3,11500,25,84594,20,8,0,1,0,0,0,34,10,0,13,96694,52521,7503,10,4,4,69,0,0,0,4,108,4,118,16,12100,4,8,452,"INDIVIDUAL",,,,0,2,0,2,13,48111,,0,2,2326,38.3,2,0,3,118,0.0296745,0.055125,0.431383460760117,0,778289,42880,166.666666666667,0.025
83879823,,,"","065xx",89847669,3000,0,36,13.99,6.3,0.96,102.52,"C","C3",24,"RENT",44200,"VERIFIED","2016-06-23T11:07:16.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-23T11:06:52.000-07:00","2016-06-27T07:27:54.000-07:00","APPROVED",,"medical","CT",,"2016-06-27T10:00:00.000-07:00",FALSE,"Human Resources",0,5,569,0,59.4,12.68,0,0,1993-04-22,675,679,2,69,,0,,18,0,7,0,7658,1428,30.4,1400,12,15415,8,,0,0,0,1,0,,7,3,3,20115,7658,1276,3,2,2,91,0,0,0,3,154,4,197,3,4700,4,5,1434,"INDIVIDUAL",,,,2,1,0,0,54,6230,40.4,3,5,565,38.1,0,0,4,278,0.0278334841628959,0.0323076923076923,0.739559769630432,0,754843,40495,83.3333333333333,0.0226244343891403
83922282,,,"","234xx",89930039,1200,0,36,13.49,6,0.96,40.72,"C","C2",48,"MORTGAGE",34000,"NOT_VERIFIED","2016-06-27T08:13:44.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T08:12:42.000-07:00","2016-06-27T08:17:26.000-07:00","APPROVED",,"home_improvement","VA",,"2016-06-27T10:00:00.000-07:00",FALSE,"Eligibility worker ",0,4,21343,25,35.3,22.31,0,0,1999-03-26,660,664,0,35,21,14,35,46,1,12,2,14537,12410,27.1,33000,25,6000,18,35,0,3,0,1,0,35,12,1,11,189060,101290,8441,12,2,4,88,0,0,0,6,166,5,207,11,45800,5,10,7050,"INDIVIDUAL",,,,0,1,0,0,45,2127,35.4,1,4,9644,28.1,0,0,0,207,0.0143717647058824,0.365,0.850995302200317,0,937827,41740,33.3333333333333,0.0117647058823529
83940154,,,"","996xx",89947867,5000,0,36,13.49,6,0.96,169.66,"C","C2",120,"MORTGAGE",120000,"VERIFIED","2016-06-23T17:50:53.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-23T17:42:12.000-07:00","2016-06-27T07:54:03.000-07:00","APPROVED",,"other","AK",,"2016-06-27T10:00:00.000-07:00",FALSE,"Machanic",0,1,405,100,92.1,5.54,3,0,2004-11-23,675,679,0,9,,11,9,50,1,4,0,23982,4695,92.1,5100,10,26745,6,9,0,0,0,0,0,,4,0,18,371845,318408,79602,4,2,2,60,0,0,0,3,139,2,136,50,5100,2,2,97,"INDIVIDUAL",,,,0,1,0,1,18,19287,72.1,0,0,2991,75.3,0,2,1,139,0.016966,0.039125,0.922428667545319,0,236718,34423,138.888888888889,0.0138888888888889
83972131,,,"","082xx",89979904,7200,0,36,10.49,3.85,0.85,233.99,"B","B3",96,"RENT",69000,"NOT_VERIFIED","2016-06-27T06:11:39.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:03:47.000-07:00","2016-06-27T06:17:40.000-07:00","APPROVED",,"other","NJ",,"2016-06-27T10:00:00.000-07:00",FALSE,"General Manager",0,3,1148,83.3,88.2,26.64,0,0,2005-06-26,675,679,0,43,79,7,,7,0,14,1,37199,19001,67.4,9700,19,37576,14,,0,1,0,0,0,76,14,2,4,65776,37199,2657,6,6,6,89,0,0,0,5,116,13,132,4,28200,13,13,0,"INDIVIDUAL",,,,1,1,0,0,44,18198,,2,3,4424,67.4,0,0,1,132,0.0406939130434783,0.275376811594203,0.447728455066681,0,1154377,35867,200,0.0347826086956522
83972191,,,"","750xx",89979965,24000,0,60,22.39,10.46,0.66,668.19,"E","E1",120,"OWN",60000,"NOT_VERIFIED","2016-06-27T07:27:38.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:55:08.000-07:00","2016-06-27T07:42:48.000-07:00","APPROVED",,"debt_consolidation","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Teacher",0,5,5211,0,54.7,17.78,0,0,2005-06-26,690,694,0,,,0,,42,2,13,0,26102,6299,26.9,11500,18,30691,13,,0,0,0,0,0,,13,1,9,226851,186128,14318,3,1,3,100,0,0,0,3,132,2,44,19,23400,2,10,531,"INDIVIDUAL",,,,0,2,1,2,9,19803,64.5,0,3,6289,48.3,3,0,7,132,0.133638,0.104983333333333,0.87770676612854,0,2390207,55397,400,0.08
83992439,,,"","100xx",90000218,5000,0,36,7.99,2.05,0.78,156.66,"A","A4",120,"RENT",165000,"NOT_VERIFIED","2016-06-27T06:26:33.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:25:25.000-07:00","2016-06-27T06:30:50.000-07:00","APPROVED",,"debt_consolidation","NY",,"2016-06-27T10:00:00.000-07:00",FALSE,"Principal Software Engineer",0,4,3733,75,79.7,17.61,1,0,1999-03-26,700,704,0,21,,,30,11,0,13,0,33405,19850,61.6,18400,25,42326,16,30,0,1,0,0,0,21,13,2,8,74526,33405,2784,7,4,4,91,1,0,0,8,207,7,195,8,32200,7,9,0,"INDIVIDUAL",,,,0,4,0,2,15,13555,32,2,2,7895,44.8,0,0,0,207,0.0113934545454545,0.12030303030303,0.623265087604523,0,3917182,47540,138.888888888889,0.0101010101010101
83992518,,,"","730xx",90000297,15000,0,36,10.99,4.3,0.85,491.01,"B","B4",84,"MORTGAGE",120000,"SOURCE_VERIFIED","2016-06-27T07:31:36.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:30:54.000-07:00","2016-06-27T07:43:04.000-07:00","APPROVED",,"debt_consolidation","OK",,"2016-06-27T10:00:00.000-07:00",FALSE,"PA-C, MHS",0,5,3992,50,63.7,8.97,1,0,2003-04-26,695,699,0,8,20,7,8,1,2,14,2,60798,7637,46.6,11000,38,73139,25,,1,0,0,0,1,,14,3,1,273231,242050,17289,8,2,2,92,0,0,0,11,158,4,99,1,16400,4,8,0,"INDIVIDUAL",,,,3,5,1,2,2,53161,72.7,1,2,5269,67.9,6,8,6,158,0.049101,0.0636416666666667,0.821758389472961,0,608206,40424,416.666666666667,0.0416666666666667
84000731,,,"","770xx",90008462,2800,0,36,17.99,9.35,1.05,101.22,"D","D2",48,"RENT",23000,"VERIFIED","2016-06-24T12:07:57.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-24T12:05:27.000-07:00","2016-06-27T08:43:19.000-07:00","APPROVED",,"other","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Custodian",0,6,5874,25,44.1,33.35,0,0,2007-04-23,670,674,0,,,10,,15,0,12,0,23757,5223,35.1,10500,16,23310,11,,0,0,0,1,0,,12,3,5,38210,23757,2376,5,2,4,100,0,0,0,5,42,4,110,5,14900,4,10,401,"INDIVIDUAL",,,,2,2,2,3,6,18534,79.5,1,3,3945,62.2,1,1,1,110,0.0528104347826087,0.227086956521739,0.684579312801361,0,3208478,46231,77.7777777777778,0.0405797101449275
84001831,,,"","600xx",90009586,16000,0,60,9.49,2.8,0.53,335.96,"B","B2",84,"MORTGAGE",1e+05,"SOURCE_VERIFIED","2016-06-26T14:06:01.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-26T14:04:45.000-07:00","2016-06-26T14:10:23.000-07:00","APPROVED",,"debt_consolidation","IL",,"2016-06-27T10:00:00.000-07:00",FALSE,"Air Traffic Controller",0,2,1230,100,86.3,8.38,0,0,2003-12-25,730,734,0,,,9,,13,2,9,0,24590,10369,86.4,9000,25,42305,3,,0,0,0,0,0,,9,1,8,333305,299844,33316,2,1,1,100,0,0,0,20,131,2,150,13,12000,2,2,0,"INDIVIDUAL",,,,0,6,0,0,55,14221,33.6,0,1,7770,45.3,0,1,2,150,0.0403152,0.10369,0.955373883247375,0,3919624,60273,266.666666666667,0.032
84002181,,,"","147xx",90009940,11000,0,36,10.49,3.85,0.85,357.48,"B","B3",48,"OWN",41100,"NOT_VERIFIED","2016-06-27T08:13:38.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:09:34.000-07:00","2016-06-27T08:17:25.000-07:00","APPROVED",,"other","NY",,"2016-06-27T10:00:00.000-07:00",FALSE,"Mechanic ",0,2,5443,33.3,56.5,14.69,0,0,2008-08-26,695,699,1,,,3,,3,0,12,0,14144,7057,56.5,12500,16,20012,5,,0,0,0,0,0,,12,1,3,32512,14144,1179,5,3,3,100,0,0,0,11,94,3,82,3,12500,3,3,0,"INDIVIDUAL",,,,1,9,0,1,24,7087,35.4,1,1,4572,43.5,0,2,1,94,0.104373722627737,0.171703163017032,0.791336894035339,0,188687,28834,305.555555555556,0.089213300892133
84002268,,,"","456xx",90010028,30000,0,36,18.99,10.15,1.05,1099.53,"D","D3",48,"MORTGAGE",118000,"NOT_VERIFIED","2016-06-27T08:26:50.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T08:25:13.000-07:00","2016-06-27T08:30:03.000-07:00","APPROVED",,"debt_consolidation","OH",,"2016-06-27T10:00:00.000-07:00",FALSE,"Senior analyst ",0,8,10657,20,40.1,15.19,1,0,1997-12-26,690,694,0,6,,7,6,9,2,20,0,46951,8083,30,17800,30,56861,21,42,0,0,0,0,0,,20,2,5,351308,312775,18399,8,4,6,80,0,0,0,7,126,8,222,9,26900,8,17,501,"INDIVIDUAL",,,,1,2,0,2,14,38868,87.6,1,5,4511,54.5,0,0,1,222,0.111816610169492,0.0685,0.624275386333466,0,404887,29388,833.333333333333,0.0847457627118644
84011610,,,"","920xx",90019350,23975,0,60,14.49,5.37,0.58,563.97,"C","C4",120,"RENT",64900,"NOT_VERIFIED","2016-06-27T06:42:06.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-26T04:08:50.000-07:00","2016-06-27T08:46:45.000-07:00","APPROVED",,"credit_card","CA",,"2016-06-27T10:00:00.000-07:00",FALSE,"AVP, Compliance ",0,3,115,85.7,99.5,25.89,0,0,2001-05-25,670,674,0,,,7,,16,2,11,0,54899,27182,99.6,23400,29,41479,20,,0,0,0,0,0,,11,1,9,68779,54899,4991,9,7,7,100,0,0,0,7,120,9,181,16,27300,9,9,0,"INDIVIDUAL",,,,0,2,1,1,9,27717,66.8,0,2,6213,79.8,0,7,3,181,0.104277966101695,0.418828967642527,0.593296110630035,0,1405504,48550,399.583333333333,0.0738828967642527
84012172,,,"","775xx",90019926,19700,0,36,7.99,2.05,0.78,617.24,"A","A4",36,"MORTGAGE",150000,"SOURCE_VERIFIED","2016-06-27T05:56:48.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T05:55:20.000-07:00","2016-06-27T06:01:45.000-07:00","APPROVED",,"debt_consolidation","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Outside Sales Representative",0,13,71984,0,5.8,28.35,0,0,2009-09-26,795,799,0,,,13,,1,3,22,0,121028,4416,4.8,76400,32,147635,21,,0,0,0,0,0,,22,6,1,433845,304740,13852,14,6,11,100,0,0,0,8,51,6,81,1,92500,6,16,0,"INDIVIDUAL",,,,3,5,3,6,6,116612,69.2,3,4,1980,27.9,5,2,0,81,0.0493792,0.02944,0.726675450801849,0,2227530,45026,547.222222222222,0.0437777777777778
84012206,,,"","111xx",90019960,10000,0,36,15.59,7.71,0.96,349.55,"C","C5",0,"RENT",105000,"SOURCE_VERIFIED","2016-06-27T06:13:50.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:11:45.000-07:00","2016-06-27T06:16:46.000-07:00","APPROVED",,"credit_card","NY",,"2016-06-27T10:00:00.000-07:00",FALSE,"Director",0,6,4290,50,58.3,22.43,1,0,2006-11-26,665,669,4,9,,2,9,6,0,26,0,151646,6504,32.8,10300,38,158571,18,9,0,0,0,0,0,,25,3,6,178371,151646,6066,8,4,6,97,0,0,0,20,96,7,115,6,19800,7,12,0,"INDIVIDUAL",,,,1,13,2,4,9,145142,91.5,1,2,3445,85,3,0,5,115,0.0399485714285714,0.0619428571428571,0.33169761300087,0,616567,37053,277.777777777778,0.0317460317460317
84022185,,,"","027xx",90029940,15000,0,36,17.99,9.35,1.05,542.22,"D","D2",120,"MORTGAGE",85000,"SOURCE_VERIFIED","2016-06-27T07:19:24.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:18:26.000-07:00","2016-06-27T07:22:57.000-07:00","APPROVED",,"debt_consolidation","MA",,"2016-06-27T10:00:00.000-07:00",FALSE,"SUPERVISOR",0,7,2595,80,84.8,20.9,0,0,2002-04-26,660,664,0,,69,9,,18,0,8,1,34654,14505,84.8,17100,31,34500,19,,1,0,0,0,0,,8,0,13,51600,34654,4332,18,5,5,100,0,0,0,12,143,5,170,18,17100,5,5,0,"INDIVIDUAL",,,,0,3,0,5,13,20149,58.4,0,2,3921,67.2,0,6,1,170,0.0765487058823529,0.170647058823529,0.840283036231995,0,702269,43705,416.666666666667,0.0588235294117647
84042160,,,"","532xx",90049919,14000,0,60,12.79,4.65,0.58,317.05,"C","C1",0,"RENT",70000,"SOURCE_VERIFIED","2016-06-27T07:50:36.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:19:27.000-07:00","2016-06-27T07:59:45.000-07:00","APPROVED",,"debt_consolidation","WI",,"2016-06-27T10:00:00.000-07:00",FALSE,"Sales",0,1,8145,50,64.4,11.71,0,0,1997-12-26,685,689,0,,,15,,73,0,5,0,37191,14755,64.4,22900,16,36695,6,,0,0,0,0,0,,5,0,15,59595,37191,7438,5,2,2,100,0,0,0,5,160,2,222,73,22900,2,2,1273,"INDIVIDUAL",,,,0,2,0,1,15,22436,61.1,0,0,9696,62.4,2,0,0,222,0.0543514285714286,0.210785714285714,0.823319971561432,0,1705031,38515,233.333333333333,0.04
84050445,,,"","631xx",90058168,4800,0,36,23.99,13.71,1.11,188.3,"E","E2",120,"RENT",40000,"SOURCE_VERIFIED","2016-06-24T05:46:15.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-24T05:11:17.000-07:00","2016-06-27T07:29:12.000-07:00","APPROVED",,"other","MO",,"2016-06-27T10:00:00.000-07:00",FALSE,"Correctional Officer I",0,4,,,,23.91,0,0,2011-07-23,695,699,0,44,95,11,44,,0,9,1,22627,3003,28.6,0,12,37920,7,,1,0,0,0,0,,9,2,11,48420,22627,2514,0,0,0,91,0,0,0,5,59,4,58,11,10500,4,6,0,"INDIVIDUAL",,,,0,3,0,1,18,19624,51.8,2,3,0,46.7,1,1,3,59,0.05649,0.075075,0.547280013561249,0,2573268,45722,133.333333333333,0.04
84060191,,,"","333xx",90077904,5000,0,36,13.99,6.3,0.96,170.87,"C","C3",0,"RENT",61500,"SOURCE_VERIFIED","2016-06-23T18:13:47.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-23T18:12:42.000-07:00","2016-06-27T08:22:27.000-07:00","APPROVED",,"other","FL",,"2016-06-27T10:00:00.000-07:00",FALSE,"Residential life night manager",0,0,383,100,94.9,7.79,0,0,1999-09-23,705,709,1,,,0,,34,6,4,0,16401,10921,95,7500,22,8690,8,,0,0,0,0,0,,4,0,29,20190,16401,4100,3,2,2,100,0,0,0,8,139,3,201,34,11500,3,3,0,"INDIVIDUAL",,,,0,1,0,0,29,5480,63.1,0,0,4774,81.2,0,9,2,201,0.033340487804878,0.177577235772358,0.816802501678467,0,3979285,38809,138.888888888889,0.02710027100271
84072497,,,"","226xx",90070263,10000,0,36,12.79,5.47,0.96,335.93,"C","C1",120,"RENT",48253.68,"SOURCE_VERIFIED","2016-06-27T07:34:31.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:31:44.000-07:00","2016-06-27T07:45:36.000-07:00","APPROVED",,"debt_consolidation","VA",,"2016-06-27T10:00:00.000-07:00",FALSE,"Administrative Assistant",0,8,5439,66.7,38.9,13.26,1,0,1998-07-26,675,679,0,13,78,19,13,46,2,16,1,9828,4314,22.1,8900,33,10555,21,13,1,0,0,0,0,,16,4,1,30055,9828,702,4,2,4,96,0,0,0,10,137,7,203,1,19500,7,15,0,"INDIVIDUAL",,,,3,1,1,3,6,5514,52.2,3,5,2444,32.7,0,1,0,215,0.0835409858895736,0.0894025077465594,0.847496807575226,0,270427,40523,277.777777777778,0.0690793600267033
84090274,,,"","913xx",90087989,12000,0,60,8.59,2.14,0.47,246.72,"A","A5",12,"MORTGAGE",123000,"SOURCE_VERIFIED","2016-06-23T19:58:10.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-23T19:47:57.000-07:00","2016-06-27T09:17:58.000-07:00","APPROVED",,"credit_card","CA",,"2016-06-27T10:00:00.000-07:00",FALSE,"manager",0,7,5703,33.3,65.2,11.09,0,0,2004-06-23,745,749,0,,,2,,32,2,31,0,140941,13037,52.6,16400,46,135947,21,,0,0,0,0,0,,31,2,9,430747,406183,13539,9,3,3,100,0,0,0,23,71,5,144,31,24800,5,8,0,"INDIVIDUAL",,,,0,22,2,6,9,127904,94.1,0,0,7785,87.7,5,0,1,144,0.024070243902439,0.105991869918699,0.891633927822113,0,3370559,53021,200,0.0195121951219512
84090382,,,"","799xx",90088104,15000,0,36,13.49,6,0.96,508.96,"C","C2",108,"MORTGAGE",47000,"VERIFIED","2016-06-24T01:07:48.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-24T01:06:23.000-07:00","2016-06-27T07:39:05.000-07:00","APPROVED",,"debt_consolidation","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Teacher",0,7,2770,0,69.2,23.67,1,0,1996-07-23,675,679,1,15,,6,47,12,1,11,0,15684,10562,59.3,9000,21,8586,14,47,0,2,0,0,0,15,11,5,6,107386,103347,9395,4,2,2,81,1,0,0,5,137,6,239,6,17800,6,7,298,"INDIVIDUAL",,,,2,2,2,3,6,5122,59.7,3,4,3393,59.4,0,6,2,239,0.129947234042553,0.224723404255319,0.803755939006805,0,842436,27127,416.666666666667,0.106382978723404
84091361,,,"","761xx",90089127,9800,0,36,5.32,1.23,0.78,295.13,"A","A1",72,"MORTGAGE",65000,"VERIFIED","2016-06-25T10:36:15.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-25T10:14:58.000-07:00","2016-06-27T07:59:26.000-07:00","APPROVED",,"credit_card","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Nurse",0,4,37541,11.1,20.5,12.37,0,0,2004-04-24,715,719,0,,,18,,26,2,24,0,14177,12647,19.3,47200,48,10800,42,,0,0,0,0,0,,24,1,4,212088,144291,6871,20,4,10,100,0,0,0,4,146,6,145,4,65500,6,22,487,"INDIVIDUAL",,,,1,1,0,0,32,1530,14.2,1,4,5006,18.6,0,0,0,146,0.0544855384615385,0.194569230769231,0.962231695652008,0,2597392,40066,272.222222222222,0.0502564102564103
84092242,,,"","786xx",90090057,6000,0,36,8.59,2.27,0.78,189.66,"A","A5",36,"MORTGAGE",85000,"NOT_VERIFIED","2016-06-27T05:48:11.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T05:45:30.000-07:00","2016-06-27T06:17:51.000-07:00","APPROVED",,"debt_consolidation","TX",,"2016-06-27T10:00:00.000-07:00",FALSE,"Nurse manager",0,1,4148,0,52.9,2.48,1,0,1997-11-26,680,684,0,17,,1,75,42,1,11,0,4919,4919,35.9,8800,25,0,16,,0,3,0,0,0,51,11,0,14,175700,139565,13957,5,2,3,79,0,0,0,8,223,4,222,14,13700,4,10,2439,"INDIVIDUAL",,,,0,0,0,0,80,0,,0,1,4571,35.9,0,0,1,223,0.0267755294117647,0.0578705882352941,0.682124257087708,0,1808877,40196,166.666666666667,0.0235294117647059
84100560,,,"","335xx",90108282,10000,0,36,12.79,5.47,0.96,335.93,"C","C1",24,"RENT",80000,"SOURCE_VERIFIED","2016-06-24T13:18:04.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-24T08:49:14.000-07:00","2016-06-27T08:31:39.000-07:00","APPROVED",,"vacation","FL",,"2016-06-27T10:00:00.000-07:00",FALSE,"Pipe fitter",0,6,9552,16.7,29.8,14.34,0,0,2009-06-23,680,684,1,38,,3,,2,0,12,0,69258,4235,28,13600,23,63788,7,,0,1,0,1,0,38,12,3,2,78888,69258,5772,6,4,6,95,0,0,0,16,84,5,60,2,15100,5,7,1931,"INDIVIDUAL",,,,3,5,1,2,3,65023,113.2,2,4,3400,66.9,2,0,3,84,0.0503895,0.0529375,0.551629066467285,0,699098,37911,277.777777777778,0.0416666666666667
84102462,,,"","152xx",90110236,19450,0,36,17.99,9.35,1.05,703.07,"D","D2",24,"RENT",125000,"SOURCE_VERIFIED","2016-06-27T08:17:10.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T08:01:32.000-07:00","2016-06-27T08:29:17.000-07:00","APPROVED",,"debt_consolidation","PA",,"2016-06-27T10:00:00.000-07:00",FALSE,"regional director",0,5,2314,85.7,85.8,3.95,0,0,2004-07-26,660,664,2,65,,4,,3,2,8,0,13986,13986,81.8,16300,16,0,10,,0,2,0,0,0,65,8,2,3,17100,13986,1748,9,7,7,87,0,0,0,2,83,7,143,3,17100,7,8,0,"INDIVIDUAL",,,,2,0,0,0,82,0,,2,5,3818,81.8,0,0,2,143,0.06749472,0.111888,0.503445446491241,0,2506311,40422,540.277777777778,0.0518666666666667
84112173,,,"","273xx",90119937,25000,0,36,16.99,8.5,1.05,891.2,"D","D1",120,"MORTGAGE",75000,"SOURCE_VERIFIED","2016-06-27T06:41:24.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T06:35:07.000-07:00","2016-06-27T06:46:18.000-07:00","APPROVED",,"credit_card","NC",,"2016-06-27T10:00:00.000-07:00",FALSE,"RN",0,12,21882,0,33.9,8.84,0,0,1999-11-26,695,699,1,,,3,,3,4,12,0,18115,18115,38.4,33100,20,0,15,,0,0,0,0,0,,12,8,2,47200,18115,1510,8,5,7,95,0,0,0,1,180,10,199,2,47200,10,12,150,"INDIVIDUAL",,,,4,0,0,0,180,0,,8,12,3489,38.4,0,0,2,199,0.142592,0.241533333333333,0.922656238079071,0,974670,33992,694.444444444444,0.111111111111111
84131052,,,"","852xx",90138820,8900,0,36,16.99,8.5,1.05,317.27,"D","D1",0,"RENT",32000,"SOURCE_VERIFIED","2016-06-24T15:00:41.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-24T14:53:46.000-07:00","2016-06-27T08:32:25.000-07:00","APPROVED",,"debt_consolidation","AZ",,"2016-06-27T10:00:00.000-07:00",FALSE,"Assistant Processor",0,10,4132,50,31.1,34.55,0,0,2005-09-23,725,729,0,,,14,,2,2,11,0,35026,5085,26.1,6000,32,39752,18,,0,0,0,0,0,,11,7,1,59252,35026,3503,8,2,3,100,0,0,0,12,129,5,127,1,19500,5,6,0,"INDIVIDUAL",,,,4,5,3,5,9,29941,75.3,4,5,1668,59.1,1,3,0,129,0.11897625,0.15890625,0.597899973392487,0,1218817,50677,247.222222222222,0.0927083333333333
84132895,,,"","076xx",90140768,5000,0,36,5.32,1.23,0.78,150.58,"A","A1",120,"MORTGAGE",131000,"NOT_VERIFIED","2016-06-27T07:19:51.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:15:09.000-07:00","2016-06-27T07:22:16.000-07:00","APPROVED",,"home_improvement","NJ",,"2016-06-27T10:00:00.000-07:00",FALSE,"Marketing Support Manager",0,5,15236,0,10.9,11.26,0,0,2000-08-26,800,804,0,,,10,,29,8,8,0,29027,1864,9.1,17100,39,71007,20,,0,0,0,0,0,,8,1,9,383429,309575,44225,15,1,2,100,0,0,0,11,167,1,190,24,20400,1,4,0,"INDIVIDUAL",,,,0,3,0,2,15,27163,38.3,0,2,1864,31.8,1,0,1,190,0.0137935877862595,0.0142290076335878,0.967038214206696,0,725526,64579,138.888888888889,0.0127226463104326
84132965,,,"","295xx",90140840,5600,0,36,12.79,5.47,0.96,188.13,"C","C1",84,"RENT",128000,"SOURCE_VERIFIED","2016-06-27T08:00:43.000-07:00","2016-07-11T09:52:01.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-27T07:59:54.000-07:00","2016-06-27T08:02:41.000-07:00","APPROVED",,"debt_consolidation","SC",,"2016-06-27T10:00:00.000-07:00",FALSE,"Finance Manager",0,5,3164,60,89.1,14.34,0,0,2000-09-26,670,674,1,,,6,,6,1,11,0,63703,28507,85.4,28900,27,44668,12,,0,0,0,0,0,,11,3,6,78068,63703,5791,10,5,5,100,0,0,0,12,121,7,189,6,33400,7,7,0,"INDIVIDUAL",,,,1,4,2,4,7,35196,78.8,1,1,11195,81.6,1,0,1,189,0.0176371875,0.2227109375,0.761415779590607,0,873355,27583,155.555555555556,0.0145833333333333
